trials1.thisRepN,trials1.thisTrialN,trials1.thisN,trials1.thisIndex,trials2.thisRepN,trials2.thisTrialN,trials2.thisN,trials2.thisIndex,instr1.started,instr1.stopped,instr1Resp.keys,instr1Resp.rt,instr1Resp.started,instr1Resp.stopped,fix1.started,fix1.stopped,trial1Mouse.x,trial1Mouse.y,trial1Mouse.leftButton,trial1Mouse.midButton,trial1Mouse.rightButton,trial1Mouse.time,trial1Mouse.started,trial1Mouse.stopped,step,targetangle_deg,trial1Target.started,trial1Target.stopped,trial1Home.started,trial1Home.stopped,trial1Cursor.started,trial1Cursor.stopped,trial1Num.started,trial1Num.stopped,trial1Skip.keys,trial1Skip.rt,trial1Skip.started,trial1Skip.stopped,instr2.started,instr2.stopped,instr2Resp.keys,instr2Resp.rt,instr2Resp.started,instr2Resp.stopped,fix2.started,fix2.stopped,trial2Mouse.x,trial2Mouse.y,trial2Mouse.leftButton,trial2Mouse.midButton,trial2Mouse.rightButton,trial2Mouse.time,trial2Mouse.started,trial2Mouse.stopped,trial2Target.started,trial2Target.stopped,trial2Home.started,trial2Home.stopped,trial2Cursor.started,trial2Cursor.stopped,trial2Num.started,trial2Num.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,11.455490399966948,None,space,0.48100559995509684,11.455490399966948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
0,0,0,0,,,,,,,,,,,11.962661299970932,None,"[-0.1953125, -0.1953125, -0.1953125, -0.1953125, -0.1953125, -0.19401041666666666, -0.19140625, -0.18359375, -0.17317708333333334, -0.1640625, -0.16015625, -0.15625, -0.15494791666666666, -0.15364583333333334, -0.15234375, -0.1484375, -0.14453125, -0.13932291666666666, -0.13411458333333334, -0.12369791666666667, -0.10807291666666667, -0.08333333333333333, -0.0625, -0.046875, -0.0390625, -0.033854166666666664, -0.032552083333333336, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.029947916666666668, -0.03125, -0.03125, -0.032552083333333336, -0.033854166666666664, -0.033854166666666664, -0.03515625, -0.037760416666666664, -0.0390625, -0.04296875, -0.045572916666666664]","[0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09765625, 0.09635416666666667, 0.09635416666666667, 0.09505208333333333, 0.09505208333333333, 0.09505208333333333, 0.09505208333333333, 0.09375, 0.09244791666666667, 0.08984375, 0.08333333333333333, 0.0703125, 0.049479166666666664, 0.022135416666666668, 0.006510416666666667, 0.0013020833333333333, 0.0, 0.0013020833333333333, 0.00390625, 0.006510416666666667, 0.0078125, 0.0078125, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.009114583333333334, 0.010416666666666666, 0.01171875, 0.01171875, 0.013020833333333334, 0.013020833333333334, 0.014322916666666666, 0.015625, 0.018229166666666668]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005234700045548379, 0.017978399991989136, 0.03013570001348853, 0.04698610003106296, 0.06344639998860657, 0.08058960002381355, 0.09712960000615567, 0.11379730002954602, 0.13046470005065203, 0.14707360009197146, 0.16324320004787296, 0.18012260005343705, 0.19656960002612323, 0.21329780004452914, 0.2301111000124365, 0.24692150007467717, 0.2632390999933705, 0.28025489998981357, 0.2968699000775814, 0.3136833000462502, 0.33020050008781254, 0.34702200000174344, 0.3634812000673264, 0.38036680000368506, 0.396862699999474, 0.4136494999984279, 0.43071330001112074, 0.4470938000595197, 0.46318600000813603, 0.4798385000322014, 0.4966838000109419, 0.5132807000773028, 0.5301699000410736, 0.5471344999969006, 0.5632566000567749, 0.5798817999893799, 0.5969119000947103, 0.61353189998772, 0.629852700047195, 0.6470610999967903, 0.6635051000630483, 0.6801269000861794, 0.6968180000549182, 0.7136597000062466, 0.7306993000674993]",12.965851799934171,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,12.965851799934171,None,12.965851799934171,None,12.965851799934171,None,12.965851799934171,None,space,0.7055511999642476,12.965851799934171,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
1,0,1,0,,,,,,,,,,,,,"[-0.048177083333333336, -0.05078125, -0.05078125, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336]","[0.018229166666666668, 0.01953125, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0059655000222846866, 0.017624299973249435, 0.03043479996267706, 0.046690299990586936, 0.06409930007066578, 0.08000279997941107, 0.0967345000244677, 0.11344370001461357, 0.13009700004477054, 0.1467810000758618, 0.16350090003106743]",13.714290599920787,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,13.714290599920787,None,13.714290599920787,None,13.714290599920787,None,13.714290599920787,None,space,0.14914529991801828,13.714290599920787,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
2,0,2,0,,,,,,,,,,,,,"[-0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336]","[0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005833499948494136, 0.016618299996480346, 0.03592569997999817, 0.05327579996082932, 0.06993660004809499, 0.08712050004396588, 0.10319870000239462, 0.12031619995832443, 0.13660099997650832, 0.153456800035201, 0.17001070000696927, 0.186582800000906]",13.890516699990258,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,13.890516699990258,None,13.890516699990258,None,13.890516699990258,None,13.890516699990258,None,space,0.17283910000696778,13.890516699990258,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
3,0,3,0,,,,,,,,,,,,,"[-0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336]","[0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0034133000299334526, 0.014210700057446957, 0.036226100055500865, 0.053577200043946505, 0.07031560002360493, 0.08692050003446639, 0.10357679997105151, 0.12048410007264465, 0.13719240005593747, 0.1536632999777794, 0.1703193000284955]",14.08821249997709,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,14.08821249997709,None,14.08821249997709,None,14.08821249997709,None,14.08821249997709,None,space,0.15926360001321882,14.08821249997709,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
4,0,4,0,,,,,,,,,,,,,"[-0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.052083333333333336, -0.05859375]","[0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.020833333333333332, 0.022135416666666668, 0.022135416666666668, 0.022135416666666668, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.0037407000781968236, 0.015090700006112456, 0.03573380003217608, 0.05301600007805973, 0.06981990009080619, 0.08697110007051378, 0.10311430005822331, 0.11991800006944686, 0.13631660002283752, 0.1529791000066325, 0.17010190000291914, 0.1862679000478238]",14.272186399903148,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,14.272186399903148,None,14.272186399903148,None,14.272186399903148,None,14.272186399903148,None,space,0.1752198999747634,14.272186399903148,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
5,0,5,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005849200068041682, 0.017172600026242435, 0.035946000018157065, 0.05321630008984357, 0.0700470000738278, 0.08656540000811219, 0.1038052000803873, 0.11996010004077107, 0.13662120001390576, 0.1535431999946013, 0.16994679998606443, 0.18659040005877614, 0.20331940008327365, 0.21999090001918375, 0.2366586000425741, 0.2533449000911787, 0.2699205999961123, 0.2864464999875054, 0.303305400069803, 0.3199218000518158, 0.33646390005014837, 0.3531967999879271]",14.474080299958587,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,14.474080299958587,None,14.474080299958587,None,14.474080299958587,None,14.474080299958587,None,space,0.32534850004594773,14.474080299958587,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
6,0,6,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005204900051467121, 0.016777300043031573, 0.03654909995384514, 0.05391829996369779, 0.07106200000271201, 0.0871101999655366, 0.10386379994452, 0.12049260002095252, 0.13711999997030944, 0.15392730000894517, 0.1705097999656573]",14.839402099954896,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,14.839402099954896,None,14.839402099954896,None,14.839402099954896,None,14.839402099954896,None,space,0.1439788999268785,14.839402099954896,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
7,0,7,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005423499969765544, 0.016991600045002997, 0.034951900015585124, 0.052505900035612285, 0.06917569995857775, 0.08583740005269647, 0.10238900000695139, 0.11912100005429238, 0.13580060005187988, 0.152409499976784, 0.16915410000365227, 0.18557870003860444, 0.20277600002009422]",15.024581799982116,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",60,15.024581799982116,None,15.024581799982116,None,15.024581799982116,None,15.024581799982116,None,space,0.18288450001273304,15.024581799982116,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
8,0,8,0,,,,,,,,,,,,,"[-0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375, -0.05859375]","[0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375, 0.0234375]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[0.005680999951437116, 0.016429099952802062, 0.03578759997617453, 0.053086499916389585, 0.06979589990805835, 0.08639079995919019, 0.10365740000270307, 0.11961109994444996, 0.13692219997756183, 0.15306799998506904, 0.16972809995058924, 0.18639719998463988, 0.20338039996568114, 0.2197411999804899, 0.2364280999172479, 0.25343119993340224]",15.240598899894394,None,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",30,15.240598899894394,None,15.240598899894394,None,15.240598899894394,None,15.240598899894394,None,space,0.23080099991057068,15.240598899894394,None,,,,,,,,,,,,,,,,,,,,,,,,,a,001,2020_May_28_1529,mousePos2,2020.1.3,59.97969087564203,
